"method","parameter","n_iter","chisq","df","pvalue","pass"
"M2a-conditional","mu",4000,17.5,19,0.556,TRUE
"M2a-conditional","sigma",4000,29.7,19,0.0557,TRUE
"M2a-conditional","alpha[1]",4000,25.3,19,0.151,TRUE
"M2a-conditional","alpha[2]",4000,20.5,19,0.365,TRUE
"M2a-conditional","alpha[3]",4000,14.7,19,0.741,TRUE
"M2a-conditional","alpha[4]",4000,22.3,19,0.27,TRUE
"M2a-conditional","beta[1]",4000,22.4,19,0.265,TRUE
"M2a-conditional","beta[2]",4000,18.5,19,0.489,TRUE
"M2a-fisher_legacy","mu",1000,3551.4,19,0,FALSE
"M2a-fisher_legacy","sigma",1000,7600,19,0,FALSE
"M2a-fisher_legacy","alpha[1]",1000,3561.8,19,0,FALSE
"M2a-fisher_legacy","alpha[2]",1000,3506.7,19,0,FALSE
"M2a-fisher_legacy","alpha[3]",1000,3541.6,19,0,FALSE
"M2a-fisher_legacy","alpha[4]",1000,3568.3,19,0,FALSE
"M2a-fisher_legacy","beta[1]",1000,1582.4,19,0,FALSE
"M2a-fisher_legacy","beta[2]",1000,1634.4,19,0,FALSE
"M2b-reparam_hmc","mu",500,35.2,19,0.0132,TRUE
"M2b-reparam_hmc","sigma",500,36,19,0.0106,TRUE
"M2b-reparam_hmc","alpha[1]",500,20.4,19,0.371,TRUE
"M2b-reparam_hmc","alpha[2]",500,29.3,19,0.0614,TRUE
"M2b-reparam_hmc","alpha[3]",500,26.2,19,0.125,TRUE
"M2b-reparam_hmc","alpha[4]",500,36.1,19,0.0103,TRUE
"M2b-reparam_hmc","beta[1]",500,28.2,19,0.0797,TRUE
"M2b-reparam_hmc","beta[2]",500,32.4,19,0.0282,TRUE
"M2c-marginal","mu",4000,21.1,19,0.331,TRUE
"M2c-marginal","sigma",4000,26.3,19,0.122,TRUE
"M2c-marginal","alpha[1]",4000,30.3,19,0.0481,TRUE
"M2c-marginal","alpha[2]",4000,13.3,19,0.823,TRUE
"M2c-marginal","alpha[3]",4000,19,19,0.457,TRUE
"M2c-marginal","alpha[4]",4000,26.1,19,0.127,TRUE
"M2c-marginal","beta[1]",4000,20.9,19,0.342,TRUE
"M2c-marginal","beta[2]",4000,7.7,19,0.989,TRUE
